id,expense_number,category_name,expense_date,amount,vendor_name,payment_mode_code,farm_id,asset_id,description,status,notes,data_source
121ffa48-6f43-5d82-81d9-36d72d7f52b7,SYN-EXP-2026-001,Maintenance,2026-01-18,11392.54,SYN Agro Shop,bank_transfer,4869e93c-ccb2-5a0e-92f3-16dc24472228,046e7255-a79e-557a-93a0-a798d33aeea5,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4e8728ec-282d-5e76-8147-7510475de7b5,SYN-EXP-2026-002,Miscellaneous,2026-01-12,11310.72,SYN Transport,bank_transfer,4869e93c-ccb2-5a0e-92f3-16dc24472228,6ea443c5-d83a-506c-b8ca-31cf2a41418c,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
68f6566d-5153-5262-9296-5e78acf57116,SYN-EXP-2026-003,Miscellaneous,2026-04-05,3738.68,SYN Agro Shop,bank_transfer,855399a6-8369-5ca3-a983-0943ea407109,a52bf857-e2c1-54a7-a80f-3d901690a351,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2c5bf134-c5e0-504c-b889-dae9b99ac556,SYN-EXP-2026-004,Labor,2026-03-28,8549.41,SYN Transport,cash,4869e93c-ccb2-5a0e-92f3-16dc24472228,6253b5aa-3b5a-5d36-a127-dde27d77bd13,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
9e0448ec-4e6d-5039-9b68-68a801020fbe,SYN-EXP-2026-005,Miscellaneous,2026-05-17,1782.29,SYN Agro Shop,upi,8c3d43c4-1c88-5eca-9ee5-b5d518ee39de,83a8aaab-e693-5302-b3f1-8de53c729ff6,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
688532ed-7cbf-59d3-ac9e-ef473a1d1774,SYN-EXP-2026-006,Fuel,2026-04-28,4578.71,SYN Seeds Store,bank_transfer,6cef879e-d49d-5896-836f-27a32f008903,046e7255-a79e-557a-93a0-a798d33aeea5,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3ffb7b78-cbac-52bb-95a7-c31aa39e13b0,SYN-EXP-2026-007,Maintenance,2026-04-22,7338.64,SYN Fuel Depot,cash,6cef879e-d49d-5896-836f-27a32f008903,84535445-aae0-5c57-9a29-1259d4679436,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d79f13fd-c470-5cef-bd4c-5a1363b3495f,SYN-EXP-2026-008,Labor,2026-04-07,10459.79,SYN Mechanic,upi,6cef879e-d49d-5896-836f-27a32f008903,6ea443c5-d83a-506c-b8ca-31cf2a41418c,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2573be58-86b9-50bf-9d00-ccece8387f0e,SYN-EXP-2026-009,Labor,2026-06-04,9013.17,SYN Transport,cash,c1dd7eee-5d88-53c5-983f-59e6b1d7d88c,6253b5aa-3b5a-5d36-a127-dde27d77bd13,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1c798471-037f-500d-b403-3a9d547c894e,SYN-EXP-2026-010,Labor,2026-04-08,6714.54,SYN Mechanic,upi,8c3d43c4-1c88-5eca-9ee5-b5d518ee39de,a52bf857-e2c1-54a7-a80f-3d901690a351,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
dfce6f9a-b423-5687-9230-f7f01d537bf0,SYN-EXP-2026-011,Maintenance,2026-03-09,4443.81,SYN Transport,upi,4869e93c-ccb2-5a0e-92f3-16dc24472228,6ea443c5-d83a-506c-b8ca-31cf2a41418c,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ead73ff3-4a22-5561-ae58-88026c10e7f9,SYN-EXP-2026-012,Miscellaneous,2026-03-07,4574.32,SYN Transport,cash,c1dd7eee-5d88-53c5-983f-59e6b1d7d88c,a52bf857-e2c1-54a7-a80f-3d901690a351,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
32a309f0-8c01-58bb-9499-6ea22dd1f95f,SYN-EXP-2026-013,Labor,2026-01-09,6729.08,SYN Seeds Store,bank_transfer,8c3d43c4-1c88-5eca-9ee5-b5d518ee39de,6253b5aa-3b5a-5d36-a127-dde27d77bd13,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ee2b5c6e-29d9-563a-8e5e-2594f30f4a23,SYN-EXP-2026-014,Labor,2026-02-11,2914.22,SYN Seeds Store,cash,4869e93c-ccb2-5a0e-92f3-16dc24472228,046e7255-a79e-557a-93a0-a798d33aeea5,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
88d27d63-9fab-5726-b5ad-ffd075329854,SYN-EXP-2026-015,Maintenance,2026-03-25,9894.78,SYN Transport,upi,4869e93c-ccb2-5a0e-92f3-16dc24472228,6ea443c5-d83a-506c-b8ca-31cf2a41418c,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
fac0b251-734a-5945-8eee-ce61063b294c,SYN-EXP-2026-016,Maintenance,2026-02-05,8699.70,SYN Transport,cash,6cef879e-d49d-5896-836f-27a32f008903,a52bf857-e2c1-54a7-a80f-3d901690a351,SYNTHETIC expense for Bhairkhanpally operations,posted,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
