id,collection_number,source_type,source_id,customer_id,collection_date,amount,payment_mode_code,reference_no,notes,data_source
771e6932-b790-5edb-9dd7-95020240634f,SYN-COL-2026-001,rental,cea3d1b9-002e-5ff1-8629-78a4c83bf877,96d38e7f-a2da-55be-96ac-5d1691682796,2026-04-21,682.06,bank_transfer,COL300001,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
84d74975-dd96-5e71-86cf-15f563c5a299,SYN-COL-2026-002,rental,4be024b3-3c68-50c3-8ee3-a2f01cd326f7,c6e1c84d-a86e-5139-8308-bef65cd5ec2a,2026-01-12,1446.77,upi,COL300002,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
15d0e6ad-94c7-5523-a4c3-c9941b2b011a,SYN-COL-2026-003,rental,a27052d4-c043-5aff-baf5-0e45472343de,b28a039f-237e-5854-a44c-642496187049,2026-05-14,1438.38,upi,COL300003,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
cc0e02ab-fff6-5e46-a9c5-13cef0d8ba00,SYN-COL-2026-004,rental,cd69e557-f8cd-5adb-be06-3a623a37b31c,a5e0b167-2c60-50ac-8775-e32b8ae5b3e2,2026-04-25,1307.14,cash,COL300004,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4698c23d-6d94-5181-ad55-c19c33df705b,SYN-COL-2026-005,rental,ed6281ff-e6ab-5e4e-bc97-3c65994566bb,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,2026-01-09,1280.08,cash,COL300005,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d001a540-7ea6-53e2-9a9d-e6dee0cfd96d,SYN-COL-2026-006,rental,ed6281ff-e6ab-5e4e-bc97-3c65994566bb,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,2026-04-17,1702.45,upi,COL300006,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3c1a6135-aa41-5ad3-9125-96ec3a4ac9e4,SYN-COL-2026-007,rental,639f5f62-aabe-5a2e-a0d6-cf9e6fc87c44,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,2026-04-14,2588.24,bank_transfer,COL300007,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e2b7e2e9-b6fb-5a50-b2e5-f1c2d94b66dd,SYN-COL-2026-008,rental,cea3d1b9-002e-5ff1-8629-78a4c83bf877,96d38e7f-a2da-55be-96ac-5d1691682796,2026-05-18,643.86,bank_transfer,COL300008,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
cfecaff4-ca80-5603-b846-10ab1e2a6ab5,SYN-COL-2026-009,rental,a27052d4-c043-5aff-baf5-0e45472343de,b28a039f-237e-5854-a44c-642496187049,2026-03-03,1245.45,bank_transfer,COL300009,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
baa1bc14-9ff4-5f83-be5d-616ad90449eb,SYN-COL-2026-010,rental,59c30f0d-fce0-5555-b5c5-f993a79be7ca,75d38557-f44e-5d63-ab25-9514abe8557b,2026-02-18,742.96,upi,COL300010,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1cfbad3a-1d6b-510c-b85e-b77415d64f75,SYN-COL-2026-011,rental,cea3d1b9-002e-5ff1-8629-78a4c83bf877,96d38e7f-a2da-55be-96ac-5d1691682796,2026-06-22,1278.91,bank_transfer,COL300011,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
25e89768-8524-5720-8356-f719ed80aa0a,SYN-COL-2026-012,rental,4be024b3-3c68-50c3-8ee3-a2f01cd326f7,c6e1c84d-a86e-5139-8308-bef65cd5ec2a,2026-04-24,1116.98,cash,COL300012,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
44ff31e5-d7d1-5e1b-b944-a54f67a61030,SYN-COL-2026-013,rental,ed6281ff-e6ab-5e4e-bc97-3c65994566bb,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,2026-04-04,848.04,upi,COL300013,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
68070528-1d51-597d-beee-64666bc06781,SYN-COL-2026-014,rental,13e0088f-bc54-5031-b213-cff4c4a57093,6eebdd59-0221-534e-8aef-061ce4aee634,2026-03-22,1394.27,bank_transfer,COL300014,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
89f77fb9-d73a-5388-bc8f-c1df07a18d37,SYN-COL-2026-015,rental,639f5f62-aabe-5a2e-a0d6-cf9e6fc87c44,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,2026-01-01,2651.81,bank_transfer,COL300015,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3d282625-fe60-5d75-b21d-4f069bb27e05,SYN-COL-2026-016,rental,a27052d4-c043-5aff-baf5-0e45472343de,b28a039f-237e-5854-a44c-642496187049,2026-02-16,1993.45,upi,COL300016,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
