id,payment_number,farmer_id,payment_type,payment_date,amount,payment_mode_code,reference_no,status,notes,data_source
e35fa16d-4064-5011-9929-00daaa14d288,SYN-FPAY-2026-001,fd7b88af-a07a-5185-8b8f-ef310c498b74,adjustment,2026-05-16,22074.81,bank_transfer,UPI100001,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
215296b4-bfb6-54fd-9f21-d734b1396e1c,SYN-FPAY-2026-002,5ab7d3e2-e9cc-5859-bdbc-46f09de27fa8,adjustment,2026-06-05,13929.71,upi,UPI100002,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
50a2faac-1c1f-5cc8-93de-2ccaa0975b2e,SYN-FPAY-2026-003,62da20c7-3d66-5a59-8ced-4312314e393c,advance,2026-04-17,10666.97,upi,UPI100003,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
be1a3656-53f1-5cd8-8aaf-6efd8ee4edc1,SYN-FPAY-2026-004,e1718eba-bbf2-599a-a144-583cf98a23d3,adjustment,2026-03-18,10148.60,bank_transfer,UPI100004,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d53c1491-4336-54ab-aa01-f3673fbc3b11,SYN-FPAY-2026-005,7b13273e-85cd-5a8d-b67c-44f706f6957e,advance,2026-06-09,16031.76,cash,UPI100005,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
5dccd7a3-b886-5b5f-bba9-9143c07c503f,SYN-FPAY-2026-006,41a010ef-e1a9-552a-824a-ac8b5bc6a4e6,final,2026-05-10,7171.94,upi,UPI100006,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d2ca7f06-61b8-5ec9-9f4b-8738e3c4bc01,SYN-FPAY-2026-007,ecc35567-845f-5270-94b0-5bb499ce1ffe,final,2026-02-23,18214.73,upi,UPI100007,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c9d46c04-b902-5aa0-a000-4bc20fa3e8a2,SYN-FPAY-2026-008,d34fb40d-0a1f-5dfe-9afb-803175d24e26,final,2026-05-26,18598.28,cash,UPI100008,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
17f02a0d-f123-5a51-a260-6d407d8040d9,SYN-FPAY-2026-009,24aff973-7678-5689-a9ed-67f64a577d80,final,2026-06-18,10732.97,upi,UPI100009,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4970e156-1df6-584f-9a05-ae00231b9881,SYN-FPAY-2026-010,fd7b88af-a07a-5185-8b8f-ef310c498b74,adjustment,2026-02-10,2967.53,cash,UPI100010,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
98a67f63-b152-53b2-b3e8-289fb877f010,SYN-FPAY-2026-011,d34fb40d-0a1f-5dfe-9afb-803175d24e26,final,2026-04-21,7898.21,cash,UPI100011,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
15880876-47bc-5728-bda0-9334fe2d5953,SYN-FPAY-2026-012,eab53f31-02a3-5c3b-8740-8ff1a7e4cff4,adjustment,2026-05-09,23459.55,upi,UPI100012,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
